id,nome,telefone,cep,cidade,logradouro,bairro,campus,data_nascimento,numero_casa,lider,pastor,sexo
378,Dedra,185-426-9342,36987-1190,Vänersborg,Vahlen,Tenggun Dajah,Sweden,24/04/2023,63057,Dedra Ginn,Dedra Jahnisch,Female
379,Dosi,227-611-2445,52125-801,Luntas,Anhalt,Pedra,Indonesia,30/04/2023,93,Dosi Openshaw,Dosi Bownes,Female
380,Kalvin,486-685-1294,16590-644,Asíni,Scofield,Tomar,Greece,09/05/2023,7,Kalvin Langlands,Kalvin Thorold,Male
381,Daffie,110-797-3436,76069-100,Bendilwungu Lor,Fuller,Lixi,Indonesia,01/06/2023,563,Daffie Leggon,Daffie Pettett,Female
382,Danna,584-919-6545,68791-101,Kusi,Scoville,Hidalgo,Indonesia,22/04/2023,77,Danna Clemencet,Danna Hanniger,Female
383,Netty,661-968-2326,50268-349,Tha Luang,Forest,Leeuwarden,Thailand,24/06/2023,68,Netty Simonaitis,Netty Stonall,Female
384,Gaylord,550-389-9046,0078-0450,Thanh Ba,International,Yarmolyntsi,Vietnam,14/05/2023,5,Gaylord Dmytryk,Gaylord Oswick,Male
385,Klarika,573-269-3928,54868-4892,Toamasina,Beilfuss,Masu,Madagascar,29/09/2023,77038,Klarika Walkley,Klarika Dudbridge,Female
386,Broderick,674-915-2324,15127-963,Kashiwazaki,Bartelt,Dijon,Japan,31/05/2023,1,Broderick Smurfit,Broderick Gow,Male
387,Winthrop,290-972-0374,43645-112,Mindyak,Nevada,Santa Marta,Russia,25/09/2023,8,Winthrop McQuorkell,Winthrop Simnor,Male
388,Hillary,635-485-9369,50436-7382,Mtsamdou,Clarendon,Yatsuomachi-higashikumisaka,Comoros,12/04/2024,49469,Hillary Dannehl,Hillary Ranscomb,Male
389,Trudey,492-432-8784,51672-1305,Manika,Pennsylvania,Sovetskoye,Philippines,04/11/2023,2418,Trudey Shaplin,Trudey MacKilroe,Female
390,Anthiathia,748-168-1379,50458-550,Embi,Killdeer,Brändö,Kazakhstan,25/05/2023,2914,Anthiathia Hackwell,Anthiathia Faulconbridge,Female
391,Elsy,464-822-9400,59672-0732,Várzeas,Crest Line,Szydłowo,Portugal,21/01/2024,2,Elsy Cottu,Elsy Gronav,Female
392,Thia,657-314-1159,54868-5792,Jengglungharjo,Dawn,Fundación,Indonesia,22/02/2024,59,Thia Skelhorn,Thia Hugli,Female
393,Nels,125-673-3450,64578-0073,El Cafetal,Bunker Hill,Luoqiao,Venezuela,05/07/2023,2725,Nels Afonso,Nels Grigorushkin,Male
394,Ruprecht,302-694-1082,53748-0001,Lubei,Carberry,Sātkania,China,05/09/2023,467,Ruprecht Fowkes,Ruprecht Carnock,Male
395,Margery,672-835-7473,21695-811,Zhonghe,Marcy,Pacucha,China,09/12/2023,3585,Margery Killoran,Margery Fredson,Female
396,Janeva,113-335-3033,0573-0216,Kupino,Ohio,El Hatillo,Russia,02/05/2023,906,Janeva Pheby,Janeva Erat,Female
397,Dallon,279-289-4404,48951-5075,Lyakhovtsy,Superior,Princeton,Ukraine,16/11/2023,91,Dallon Forrest,Dallon Hawkeridge,Male
398,Gerry,573-478-7088,67046-430,Jefferson City,Huxley,Landim,United States,27/08/2023,50,Gerry Nesbeth,Gerry Cutchey,Male
399,Goober,337-604-4604,50474-700,Starokorsunskaya,Artisan,Monte Francisco,Russia,22/12/2023,4510,Goober Danels,Goober Dorrity,Male
400,Thorpe,958-983-1401,68382-763,Sam Khok,Daystar,Rothesay Bay,Thailand,30/03/2024,193,Thorpe Lambot,Thorpe Gluyas,Male
401,Gillan,486-189-5968,55301-179,Khamis Mushait,Fuller,Macieira de Rates,Saudi Arabia,15/07/2023,99,Gillan Ripley,Gillan Willmer,Female
402,Rickard,554-741-8464,0113-0678,Sergelen,Oak Valley,Zagórów,Mongolia,02/02/2024,8132,Rickard Giacomuzzo,Rickard Liston,Male
403,Pincus,477-112-9668,43063-477,Hongmiao,Ramsey,Pustomyty,China,18/03/2024,6,Pincus Dow,Pincus Breston,Male
404,Martie,465-907-7237,0126-0070,Vincennes,Steensland,Rostokino,France,27/09/2023,0,Martie Thalmann,Martie Allinson,Male
405,Aloysius,187-114-2908,59762-5251,Kaoshan,Surrey,Turija,China,01/12/2023,803,Aloysius Giraths,Aloysius Easbie,Male
406,Hyacintha,701-534-5027,54868-4792,Dipayal,Shopko,Santiago do Cacém,Nepal,27/07/2023,8378,Hyacintha Autrie,Hyacintha Burtonshaw,Female
407,Paule,159-394-2678,55154-5591,Essen,Artisan,Lailunggi,Germany,13/04/2024,7127,Paule Gunton,Paule Mackerel,Female
408,Chanda,528-604-7960,0378-4450,Qalqīlyah,Jay,Klek,Palestinian Territory,25/04/2023,8,Chanda McClean,Chanda Presslee,Female
409,Kit,568-540-2549,11716-1163,Bartniczka,Dakota,Mpumalanga,Poland,10/02/2024,86,Kit O'Farrell,Kit Yarnley,Female
410,Ivar,472-136-6955,66908-532,Purong,Brown,Linjiang,China,12/08/2023,66,Ivar Henricsson,Ivar McPhilemy,Male
411,Moselle,415-500-6136,57520-0137,Longkali,Thierer,Mathambgwane,Indonesia,12/11/2023,077,Moselle Daskiewicz,Moselle Lowndsborough,Female
412,Rory,956-290-6700,61715-011,Szczawno-Zdrój,Oriole,Épernay,Poland,14/09/2023,8,Rory Riddock,Rory Windmill,Male
413,Erek,166-205-4504,42291-709,Oemollo,Dunning,Baota,Indonesia,28/09/2023,387,Erek Mendonca,Erek Cownden,Male
414,Ronni,816-190-0723,0485-0204,Quinta dos Frades,Loeprich,Stony Hill,Portugal,15/08/2023,001,Ronni Frill,Ronni Radcliffe,Female
415,Gibby,227-529-5256,57237-082,Arganil,Almo,Proboštov,Portugal,29/11/2023,090,Gibby Runnicles,Gibby Sisley,Male
416,Tamarra,609-613-2787,59779-334,Saint John,Old Gate,Maronge,Malta,13/12/2023,975,Tamarra Dozdill,Tamarra Tremayne,Female
417,Ode,540-797-3765,0591-3369,Biyong,Summerview,Mocun,China,06/02/2024,23,Ode Tulloch,Ode Truse,Male
418,Abbie,231-306-3876,42364-0013,Banhā,Toban,Zlaté Hory,Egypt,02/02/2024,4040,Abbie Round,Abbie Pace,Male
419,Ethelyn,180-581-7683,55154-9441,Komorów,Meadow Ridge,Tongjiang,Poland,25/05/2023,841,Ethelyn Mathelon,Ethelyn Surphliss,Female
420,Arnuad,322-433-5246,0093-7181,El Soberbio,Arkansas,Banjar Sembunggede,Argentina,01/07/2023,87,Arnuad Duferie,Arnuad Averill,Male
421,Jae,779-828-5489,59535-4311,Sopla,Scott,København,Indonesia,10/01/2024,8865,Jae Kincla,Jae Sarch,Male
422,Viki,684-721-7663,52695-001,Räpina,Clarendon,Kāmyārān,Estonia,06/10/2023,7294,Viki Crookshank,Viki Wathen,Female
423,Jay,425-655-4806,68151-2113,El Limon,Almo,Sakura,Mexico,10/07/2023,046,Jay Netherwood,Jay Billison,Male
424,Norina,813-527-7063,55289-039,Blangkejeren,Carpenter,Manglid,Indonesia,22/09/2023,6033,Norina Keilloh,Norina Longden,Female
425,Kalinda,467-845-9546,49035-313,Jaroměř,Moulton,Montpellier,Czech Republic,28/06/2023,86,Kalinda Brade,Kalinda Bufton,Female
426,Pam,413-976-7511,45146-110,San Francisco,Carpenter,Marseille,Philippines,03/12/2023,66708,Pam Plail,Pam Valti,Female
427,Saba,228-500-9357,21695-087,Zhaike,Mitchell,Hepang,China,13/01/2024,1,Saba Reedman,Saba Duffield,Female
428,Myrwyn,601-161-7113,68428-132,Hadyach,Oriole,Hoktember,Ukraine,26/05/2023,7,Myrwyn Dibb,Myrwyn Storey,Male
429,Pete,655-578-3429,75936-112,União da Vitória,Fairview,Qinjia,Brazil,09/03/2024,863,Pete Micheau,Pete Clineck,Male
430,Luci,632-297-2057,66336-620,Phimai,Nobel,Jialu,Thailand,04/08/2023,7511,Luci Formilli,Luci Noke,Female
431,Alix,629-195-1522,63354-352,Boljoon,Aberg,Bar,Philippines,28/02/2024,8,Alix Deegin,Alix Arrell,Male
432,Viola,212-400-5168,0185-0222,Jamaica,Lyons,Ridder,United States,16/04/2024,45,Viola Bend,Viola Chiswell,Female
433,Marena,616-888-4457,51655-091,Daguo,Karstens,Martin,China,17/04/2024,6984,Marena Reynalds,Marena Mathison,Female
434,Millicent,583-732-4381,10191-1093,Phuthaditjhaba,Fordem,Qinhe,South Africa,10/07/2023,3955,Millicent Cadle,Millicent Gable,Female
435,Gabe,166-249-5519,0615-7605,Chiguirip,Glendale,Sumberagung,Peru,17/08/2023,484,Gabe Caslett,Gabe Wimpenny,Male
436,Yovonnda,620-315-6268,59078-038,Klole,Shasta,Göteborg,Indonesia,28/12/2023,36854,Yovonnda Dorow,Yovonnda Stapleford,Female
437,Jimmy,563-354-4940,13811-627,Sanguansi,Garrison,Palaiochóri,China,06/02/2024,7,Jimmy Gorghetto,Jimmy Leades,Male
438,Paddie,854-907-6078,58690-1001,Tanglag,Northview,San Fernando,China,25/01/2024,7725,Paddie Feavyour,Paddie Minet,Male
439,Opal,751-959-0421,55648-744,Bruzual,Dapin,Dimbokro,Venezuela,29/08/2023,26726,Opal Arendt,Opal Goodburn,Female
440,Rorke,916-967-4867,51079-347,Boa Viagem,Truax,Oesapa,Brazil,05/08/2023,48,Rorke Roote,Rorke Parrott,Male
441,Goldina,825-693-5564,68788-9962,Furmanov,Roxbury,كاف الجاع,Russia,25/09/2023,81119,Goldina Whiteoak,Goldina Witchalls,Female
442,Georas,213-557-5662,24236-231,Tiaodeng,Shoshone,Yelizavetinskaya,China,24/05/2023,6,Georas Bainbridge,Georas Siggin,Male
443,Nance,440-748-7338,47682-488,Longhuashan,Del Mar,Stockholm,China,14/07/2023,03862,Nance Costy,Nance Patrickson,Female
444,Elnar,630-363-9327,65663-024,Bassar,Mariners Cove,Gansa,Togo,24/03/2024,90498,Elnar MacGinlay,Elnar Coull,Male
445,Laverna,605-400-6080,68405-188,Pršovce,Manitowish,Rueil-Malmaison,Macedonia,20/10/2023,1,Laverna O'Riordan,Laverna Haquin,Female
446,Harwell,765-449-2093,16590-107,Blessington,Bellgrove,Ercheng,Ireland,20/11/2023,71,Harwell Banke,Harwell Langdon,Male
447,Arabelle,571-368-0740,0135-0554,Armanāz,Dayton,Sendangkemulian,Syria,19/08/2023,4253,Arabelle Crowdy,Arabelle Mulroy,Female
448,Arabela,216-333-5911,0268-0717,Kloangrotat,Linden,Paris La Défense,Indonesia,17/01/2024,9,Arabela Rene,Arabela Aberkirdo,Female
449,Chalmers,772-799-8289,24338-300,Agnibilékrou,Monica,Strum,Ivory Coast,27/10/2023,43,Chalmers Sprowles,Chalmers Castan,Male
450,Ambrosi,389-591-6690,51346-086,Kyzylorda,Mosinee,Jönköping,Kazakhstan,04/01/2024,373,Ambrosi Fishe,Ambrosi Bayman,Male
451,Bard,278-349-0671,36987-1241,Useldange,Meadow Valley,Telmin Suma,Luxembourg,13/08/2023,0409,Bard Junkinson,Bard Benkhe,Male
452,Virgil,155-310-1730,68180-123,Lentisqueira,Buhler,Kassiri,Portugal,20/11/2023,0,Virgil Sokale,Virgil Wasiela,Male
453,Monique,681-606-9784,36987-1176,Kyzyl,Ruskin,Olejet,Russia,07/06/2023,50781,Monique Fines,Monique Tolmie,Female
454,Locke,414-221-3730,59779-044,Kingston,Dayton,Seupakat,United Kingdom,15/02/2024,52,Locke Brunger,Locke Jefferson,Male
455,Gianna,881-180-3199,51079-198,Zhaowanzhuang,Stephen,Summerland,China,05/07/2023,71,Gianna MacGrath,Gianna Crass,Female
456,Colman,990-189-0106,51060-056,Cigadog,Acker,Quintã,Indonesia,30/04/2023,2,Colman Krahl,Colman Bedford,Male
457,Sela,968-191-8227,44087-1114,Grujugan,Monterey,Xingcheng,Indonesia,30/07/2023,54043,Sela Negus,Sela Mcettrick,Female
458,Barbi,909-998-5869,0093-4069,Huangtan,Green,Kinalansan,China,07/08/2023,82,Barbi Edmed,Barbi Whyberd,Female
459,Netta,847-285-3829,68400-354,Las Tejerías,Spaight,Một Ngàn,Venezuela,04/01/2024,8,Netta Luto,Netta Kensy,Female
460,Perceval,730-910-3172,11410-018,Guishan,Schmedeman,Hekou,China,06/12/2023,430,Perceval Jovicic,Perceval Harbour,Male
461,Shayne,663-397-8380,63824-900,Kiambu,Carey,Suozhen,Kenya,05/10/2023,641,Shayne Wardingley,Shayne Krabbe,Female
462,Isak,485-184-0392,59779-977,San Nicolás de los Arroyos,Hayes,Gakem,Argentina,15/03/2024,73597,Isak Scholl,Isak Trewinnard,Male
463,Salomone,246-304-1025,10096-0258,Lameira,Sugar,Pongol,Portugal,04/08/2023,5,Salomone Haney,Salomone Chippindall,Male
464,Hedy,711-216-4129,49348-061,Goodlands,Tomscot,Beroroha,Mauritius,20/09/2023,5341,Hedy Penketh,Hedy Mustin,Female
465,Winne,459-751-9022,58232-4035,Carmelo,Atwood,João Câmara,Philippines,13/09/2023,2,Winne Wintersgill,Winne Jenks,Female
466,Gary,533-442-6882,49967-050,Oetua,Meadow Valley,Mataraben,Indonesia,04/06/2023,0958,Gary Juppe,Gary Bullivent,Male
467,Row,331-224-5367,68084-287,Telukpakedai,Oak Valley,Nkpor,Indonesia,10/11/2023,9640,Row Smedmoor,Row Giovannacci,Female
468,Leslie,385-439-0942,61786-053,Gradići,Elmside,Wageningen,Croatia,03/06/2023,0,Leslie Praundl,Leslie Flintoff,Male
469,Cindelyn,341-155-1273,0143-9981,‘Aşīrah al Qiblīyah,Graceland,Paitan,Palestinian Territory,19/07/2023,76861,Cindelyn Pinckney,Cindelyn O'Keefe,Female
470,Craggie,944-949-4296,75878-004,Banjar Pasekan,Towne,Todorovo,Indonesia,02/02/2024,08052,Craggie Otham,Craggie Vsanelli,Male
471,Celestine,723-188-4935,43269-761,Pewel Wielka,Kim,Pirassununga,Poland,25/12/2023,59,Celestine Stamps,Celestine Condit,Female
472,Andonis,480-632-7257,45802-338,Bukavu,Thompson,Achadinha,Democratic Republic of the Congo,06/07/2023,27379,Andonis Soreau,Andonis McLugish,Male
473,Madelena,291-809-1983,16590-845,Zvëzdnyy,Hovde,Zhirnovsk,Russia,05/10/2023,12,Madelena Bosse,Madelena Shergill,Female
474,Bernie,616-551-8393,30142-640,Kérkyra,Corscot,Sremska Mitrovica,Greece,20/07/2023,11723,Bernie Blakeway,Bernie Rising,Male
475,Krystal,644-973-9613,46987-377,Chantilly,Pennsylvania,Żernica,France,14/02/2024,55717,Krystal Pickervance,Krystal Ceaplen,Female
476,Jordan,972-550-4540,43269-663,Al Quţayfah,Northport,Oyabe,Syria,04/06/2023,17,Jordan Roft,Jordan Ghidelli,Male
477,Susana,608-913-0709,61601-1123,Begowāla,Petterle,Oroquieta,Pakistan,30/04/2023,001,Susana Torrance,Susana Ubsdale,Female
478,Julienne,551-222-9138,68016-449,Shijing,Troy,Zamora,China,03/03/2024,904,Julienne Claworth,Julienne Plows,Female
479,Gun,977-518-0015,0363-0504,Căuşeni,Glacier Hill,Cacoal,Moldova,30/12/2023,8877,Gun Hitzschke,Gun Kuhnel,Male
480,Renato,421-978-6951,69017-201,Balīlā,Monterey,Buraen,Jordan,20/04/2024,4689,Renato Stedson,Renato Carlile,Male
481,Dari,847-510-3971,49999-050,Killarney,Jay,Bīrganj,Canada,12/07/2023,29,Dari Livingstone,Dari Tincey,Female
482,Cherin,692-964-4825,54868-1060,Sidowayah Lor,Dahle,Storvreta,Indonesia,29/07/2023,03,Cherin Stride,Cherin Eckersley,Female
483,Wallie,942-819-0231,16714-633,Progreso,Moland,Ouricuri,Peru,28/07/2023,944,Wallie Paulino,Wallie Leatherbarrow,Female
484,Marita,883-373-0230,55154-5585,Kuala Lumpur,Sheridan,Vazhiny,Malaysia,24/09/2023,13069,Marita Brugden,Marita Bradforth,Female
485,Paulo,512-724-6791,36987-1028,Austin,Bluejay,Panguna,United States,03/01/2024,5,Paulo Robatham,Paulo Rasher,Male
486,Kerr,196-504-7857,37000-077,Heshi,Briar Crest,Tabunok,China,08/11/2023,9,Kerr Sheppard,Kerr Lorimer,Male
487,Erroll,349-773-2078,68026-533,Kučevo,Boyd,Murganhal,Serbia,09/11/2023,52717,Erroll Axon,Erroll Hardage,Male
488,Ottilie,846-680-7595,49726-015,Linamon,Barby,Xihongmen,Philippines,19/01/2024,5,Ottilie L' Anglois,Ottilie Kilian,Female
489,Brion,796-652-7471,54410-001,Estancia,Holmberg,Charleville-Mézières,Philippines,26/03/2024,7485,Brion Castree,Brion Parram,Male
490,Mart,918-778-3967,21695-623,Dū Qal‘ah,Kenwood,Shuanggang,Afghanistan,25/10/2023,76950,Mart Reeders,Mart Kirsopp,Male
491,Delaney,331-523-6547,60505-0833,Fanhu,2nd,Rennes,China,31/01/2024,55530,Delaney Wint,Delaney Mundow,Male
492,Brooks,423-462-3611,49967-358,Palana,Mcbride,Malé Svatoňovice,Russia,10/01/2024,588,Brooks Filipiak,Brooks Esplin,Female
493,Virginie,999-895-1806,17478-221,Mzuzu,Lotheville,Xinshi,Malawi,12/05/2023,05,Virginie Dottrell,Virginie Hainey`,Female
494,Cherilynn,260-898-3114,43857-0229,Pocohuanca,Almo,Baku,Peru,25/01/2024,7745,Cherilynn Stroban,Cherilynn Durtnell,Female
495,Valaree,179-683-5078,68745-2007,Hanyuan,Autumn Leaf,Catayauan,China,31/05/2023,6,Valaree Sawforde,Valaree Siegertsz,Female
496,Jethro,973-277-2813,0703-4805,Lavezares,Schiller,Koesan,Philippines,07/01/2024,4067,Jethro Casone,Jethro Fawdrie,Male
497,Nevins,850-256-6476,21695-106,Daze,Hollow Ridge,Bator,China,16/08/2023,87582,Nevins Disdel,Nevins Speirs,Male
498,Todd,515-152-1924,60429-301,Göteborg,Buell,Jingyu,Sweden,13/04/2024,3079,Todd Butchers,Todd Dempsey,Male
499,Karrah,984-675-6990,0409-1253,Łętownia,Waxwing,Newport News,Poland,02/02/2024,0361,Karrah Roadknight,Karrah Tawn,Female
500,Wallace,861-860-3741,54799-503,Killumney,Harper,Figueira dos Cavaleiros,Ireland,10/07/2023,2235,Wallace Gumly,Wallace Duly,Male
